paper_id	paper_title
001	A Social Identity Analysis of Climate Change and Environmental Attitudes and Behaviors: Insights and Opportunities
002	A Social-Psychological Model of Human Crowding Phenomena
003	A Value–Attitude–Behavior Model Predicting Wildland Preservation Voting Intentions
004	Aesthetic and Affective Response to Natural Environment
005	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective
006	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics
007	Aging, Health, and the Environment: An Ecological Model
008	Behavior settings reconsidered: Temporal stages, resources, internal dynamics, context
009	Defining place attachment: A tripartite organizing framework
010	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation
011	Directed Attention as a Common Resource for Executive Functioning and Self-Regulation
012	Effects of interior design on wellness: Theory and recent scientific research
013	Goal-framing Theory and Norm-Guided Environmental Behavior
014	Human Crowding and Personal Control: An Integration of the Research
015	Is love for green in our genes? A critical analysis of evolutionary assumptions in restorative environments research
016	Personal Space: An Analysis of E. T. Hall's Proxemics Framework
017	Place attachment: How far have we come in the last 40 years?
018	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development
019	Privacy: A Conceptual Analysis
020	Progress on a Cognitive-Motivational-Relational Theory of Emotion
021	Restoration in Nature: Beyond the Conventional Narrative
022	Risk as Analysis and Risk as Feelings: Some Thoughts about Affect, Reason, Risk, and Rationality
023	Social Cognitive Theory: An Agentic Perspective
024	Space is the Machine: A Configurational Theory of Architecture
025	Stress Recovery During Exposure to Natural and Urban Environments
026	Stress-Related Transactions between Person and Environment
027	The Biological Basis for Human Values of Nature
028	The Capability Approach and Disability
029	The Image of the City
030	The Relevance of Gibson’s Ecological Approach to Perception for Environment–Behavior Studies
031	The Restorative Benefits of Nature: Toward an Integrative Framework
032	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications
